team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
1. FC Köln,3,2026,11.0,Reigan Heskey,1056437,Left Winger,18,England|Antigua and Barbuda,30/06/2031,-,,https://www.transfermarkt.com/reigan-heskey/profil/spieler/1056437,
Bayer Leverkusen,15,2026,30.0,Ibrahim Maza,905011,Attacking Midfield,20,Algeria|Germany,30/06/2030,€45.00m,45000000.0,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,98.39
Bayer Leverkusen,15,2026,4.0,Jarell Quansah,632349,Centre-Back,23,England|Scotland,30/06/2030,€45.00m,45000000.0,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,98.39
Bayer Leverkusen,15,2026,35.0,Christian Kofane,1364454,Centre-Forward,20,Cameroon,30/06/2029,€40.00m,40000000.0,https://www.transfermarkt.com/christian-kofane/profil/spieler/1364454,93.55
Bayer Leverkusen,15,2026,12.0,Edmond Tapsoba,564545,Centre-Back,27,Burkina Faso,30/06/2031,€35.00m,35000000.0,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545,90.32
Bayer Leverkusen,15,2026,10.0,Malik Tillman,467437,Attacking Midfield,24,United States|Germany,30/06/2030,€30.00m,30000000.0,https://www.transfermarkt.com/malik-tillman/profil/spieler/467437,87.1
Bayer Leverkusen,15,2026,19.0,Ernest Poku,718303,Right Winger,22,Netherlands|Ghana,30/06/2030,€25.00m,25000000.0,https://www.transfermarkt.com/ernest-poku/profil/spieler/718303,82.26
Bayer Leverkusen,15,2026,25.0,Exequiel Palacios,401578,Central Midfield,27,Argentina,30/06/2030,€25.00m,25000000.0,https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578,82.26
Bayer Leverkusen,15,2026,3.0,Miguel Gutiérrez,525299,Left-Back,25,Spain,30/06/2031,€22.00m,22000000.0,https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299,77.42
Bayer Leverkusen,15,2026,9.0,Afonso Moreira,952282,Left Winger,21,Portugal,30/06/2031,€20.00m,20000000.0,https://www.transfermarkt.com/afonso-moreira/profil/spieler/952282,66.13
