id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
513,4,Mario,Götze,6293275.0,33.0,21.0,21.0,8.0,60719.0,696.0,0,3,https://kickbase.b-cdn.net/content/file/d3877d0c416e4d30a99efbd5a673b455.png,27.0,1,110.0,,"[{""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Mario Götze,-3675.0,-3675.0,94604.0,176884.0,1141509.0,4653418.0,7.5,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
1655,4,Michael,Zetterer,4368855.0,94.0,22.0,22.0,21.0,131394.0,2075.0,0,1,https://kickbase.b-cdn.net/content/file/46598c7d33ac4ddba263c6795e68f1c1.png,23.0,2,474.0,,"[{""hasPlayed"": true, ""points"": 133}, {""hasPlayed"": true, ""points"": 105}, {""hasPlayed"": true, ""points"": 66}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 47}]",4,Michael Zetterer,-118765.0,-118765.0,-111171.0,-104456.0,-1292937.0,-2437452.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
2144,4,Robin,Koch,23504399.0,107.0,32.0,32.0,32.0,188534.0,3419.0,0,2,https://kickbase.b-cdn.net/content/file/9ec4a1262fb84d21b3b5458cc97f9cf3.png,4.0,1,145.0,,"[{""hasPlayed"": true, ""points"": 94}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 89}]",1,Robin Koch,48748.0,48748.0,22728.0,979.0,105830.0,3106636.0,7.55,1.3500197083169097,1.0,1.0,1.0,0.0,1.0,10.192649
2255,4,Jonathan,Burkardt,26635533.0,87.0,22.0,22.0,15.0,87110.0,1912.0,0,4,https://kickbase.b-cdn.net/content/file/f11b49646cad49699fd37664e712e9c9.png,9.0,1,71.0,,"[{""hasPlayed"": true, ""points"": 227}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": -14}, {""hasPlayed"": true, ""points"": -6}]",1,Jonathan Burkardt,98669.0,98669.0,79607.0,84507.0,613869.0,3725996.0,8.35,1.3500197083169097,0.85,1.0,1.0,0.15,0.925,10.427215
2863,4,Ansgar,Knauff,5205519.0,46.0,28.0,28.0,12.0,88199.0,1284.0,0,3,https://kickbase.b-cdn.net/content/file/df49f152f9bc4fd99f45742758ff5cfc.png,7.0,1,246.0,,"[{""hasPlayed"": true, ""points"": 27}, {""hasPlayed"": true, ""points"": 14}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 25}, {""hasPlayed"": true, ""points"": 8}]",3,Ansgar Knauff,316626.0,316626.0,245524.0,154216.0,714829.0,-51973.0,6.85,1.3500197083169097,0.1683991683991684,0.3103448275862069,0.0,0.0,0.2005788945444118,1.85488
2864,4,Nnamdi,Collins,11310209.0,71.0,23.0,23.0,16.0,101407.0,1622.0,2,2,https://kickbase.b-cdn.net/content/file/47efb7c32b294c238dcddcc3bd26ac21.png,34.0,2,143.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Nnamdi Collins,-578508.0,-578508.0,-664085.0,-758541.0,-2349149.0,1288552.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
2887,4,Ritsu,Dōan,21489890.0,90.0,31.0,31.0,28.0,154093.0,2793.0,2,3,https://kickbase.b-cdn.net/content/file/8ad9394d1b4e4df9b692dad3a7539c1d.png,20.0,1,129.0,,"[{""hasPlayed"": true, ""points"": 89}, {""hasPlayed"": true, ""points"": 18}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 138}, {""hasPlayed"": false, ""points"": null}]",3,Ritsu Dōan,40641.0,40641.0,110873.0,139535.0,893500.0,4429612.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
6081,4,Can,Uzun,28088449.0,106.0,21.0,21.0,15.0,76576.0,2232.0,0,3,https://kickbase.b-cdn.net/content/file/d508a06c367e48b4a6ad92a95ee8612d.png,42.0,1,79.0,,"[{""hasPlayed"": true, ""points"": 31}, {""hasPlayed"": true, ""points"": 143}, {""hasPlayed"": true, ""points"": 218}, {""hasPlayed"": true, ""points"": 220}, {""hasPlayed"": true, ""points"": 9}]",1,Can Uzun,87862.0,87862.0,83342.0,89516.0,651019.0,2367494.0,8.05,1.3500197083169097,1.0,1.0,1.0,0.0,1.0,10.867659
6185,4,Hugo,Larsson,8822984.0,71.0,25.0,25.0,21.0,117957.0,1779.0,2,3,https://kickbase.b-cdn.net/content/file/552137cdc7904c788c537687f85b8d6d.png,16.0,2,201.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 115}]",3,Hugo Larsson,-216909.0,-216909.0,-132147.0,-159412.0,-1623808.0,-1466024.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
7275,4,Kauã,Santos,8399891.0,65.0,13.0,13.0,13.0,72952.0,849.0,0,1,https://kickbase.b-cdn.net/content/file/aa2d99e5647f41be9c144d86afcdde54.png,40.0,2,101.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Kauã Santos,-249173.0,-249173.0,-268409.0,-314739.0,-1758654.0,998212.0,5.4,1.3500197083169097,1.0,1.0,1.0,0.0,1.0,7.290106
