player_id,games_played,starts,total_points,total_playtime_seconds,snapshot_timestamp,source_snapshot_filename
859,1.0,1.0,63.0,4630.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
1745,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2495,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2708,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2928,1.0,1.0,233.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3026,1.0,1.0,74.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3232,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3284,1.0,1.0,87.0,5039.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3350,1.0,1.0,66.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6148,1.0,1.0,112.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6149,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6158,1.0,0.0,15.0,1273.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6160,1.0,1.0,83.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6183,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7278,1.0,1.0,75.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7441,1.0,1.0,144.0,4001.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7463,1.0,1.0,139.0,3999.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7514,1.0,0.0,20.0,855.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8252,1.0,0.0,13.0,1892.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8296,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8301,1.0,0.0,10.0,1264.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9224,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9384,1.0,0.0,12.0,1895.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
9995,1.0,1.0,148.0,4620.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
